PRIMARIA_GENERAL|CV_CCT|CV_CCT|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|TURNO|TURNO|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|NOMBRECT|NOMBRECT|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|C_NOM_MUN|MUNICIPIO|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|C_NOM_LOC|LOCALIDAD|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|CONTROL|CONTROL|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|SUBCONTROL|SUBCONTROL|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|TIPO|TIPO|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|NIVEL|NIVEL|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|SUBNIVEL|SUBNIVEL|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|C_MODALIDAD|MODALIDAD|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|ZONA|ZONA|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V1|EXISTENCIA_PRIMERO_HOMBRES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V2|EXISTENCIA_PRIMERO_MUJERES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V3|EXISTENCIA_PRIMERO_TOTAL|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V4|EXISTENCIA_PRIMERO_GRUPOS|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V14|EXISTENCIA_SEGUNDO_HOMBRES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V15|EXISTENCIA_SEGUNDO_MUJERES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V16|EXISTENCIA_SEGUNDO_TOTAL|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V17|EXISTENCIA_SEGUNDO_GRUPOS|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V27|EXISTENCIA_TERCERO_HOMBRES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V28|EXISTENCIA_TERCERO_MUJERES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V29|EXISTENCIA_TERCERO_TOTAL|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V30|EXISTENCIA_TERCERO_GRUPOS|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V40|EXISTENCIA_CUARTO_HOMBRES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V41|EXISTENCIA_CUARTO_MUJERES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V42|EXISTENCIA_CUARTO_TOTAL|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V43|EXISTENCIA_CUARTO_GRUPOS|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V53|EXISTENCIA_QUINTO_HOMBRES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V54|EXISTENCIA_QUINTO_MUJERES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V55|EXISTENCIA_QUINTO_TOTAL|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V56|EXISTENCIA_QUINTO_GRUPOS|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V66|EXISTENCIA_SEXTO_HOMBRES|CONCENTRADO_GENERAL
PRIMARIA_GENERAL|V67|EXISTENCIA_SEXTO_MUJERES|CONCENTRADO_GENERAL
