CV_CCT|CV_TURNO|TURNO|NOMBRECT|CV_ENT_ADMINISTRATIVA|ENT_ADMINISTRATIVA|CV_ENT_INMUEBLE|ENTIDAD_INMUEBLE|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|CV_SERVICION1|TIPO|CV_SERVICION2|NIVEL|CV_SERVICION3|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|V134|V135|V64|V65|V66|V67|V68|V69|V70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V136|V137|V124|V125|V126|V140|V141|V142|V127|V128|V129|V130|V131|V132|E133|V138|V139|FECHA_ENTREGA|C_OBSERVACION|
06FIC0040E|4|DISCONTINUO|ACATITÁN EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|002|COLIMA|0049|ACATITÁN|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|2|0|2|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|2|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|2|7|0|0|0|0|0|0|0|1|6|0|1|0|1|1|3|0|3|1|2|3|0|0|0|0|0|0|4|3|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|1|0|1|1|0|0|0|0|0|0|0|0|1|NO ESPECIFICADO|0|1|10/12/2025||
06FIC0041D|4|DISCONTINUO|AGUA DULCE EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|010|VILLA DE ÁLVAREZ|0002|AGUA DULCE|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|1|1|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|5|0|0|0|0|0|0|0|0|5|0|0|2|2|4|2|1|3|1|0|1|0|0|0|0|0|0|5|3|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|1|0|1|1|0|0|0|0|0|0|0|0|1|NO ESPECIFICADO|0|1|10/12/2025||
06FIC0042C|4|DISCONTINUO|AGUA SALADA EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|008|MINATITLÁN|0003|AGUA SALADA|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|2|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|6|0|0|0|0|0|0|0|0|6|0|0|0|1|1|0|3|3|0|0|0|0|0|0|0|0|0|0|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|1|1|0|0|0|0|0|0|0|0|1|NO ESPECIFICADO|0|1|10/12/2025||
06FIC0043B|4|DISCONTINUO|AGUA ZARCA EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|004|COQUIMATLÁN|0002|AGUA ZARCA|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|3|4|7|0|0|0|0|0|0|0|0|7|0|0|0|0|0|0|1|1|0|2|2|2|0|2|0|0|0|2|3|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|1|1|0|0|0|0|0|0|0|0|1|NO ESPECIFICADO|0|1|10/12/2025||
06FIC0044A|4|DISCONTINUO|EL AMARRADERO EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|002|COLIMA|0195|EL AMARRADERO|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|5|6|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|6|9|0|0|0|0|0|0|0|0|8|0|1|0|0|0|0|2|2|1|2|3|0|0|0|0|0|0|1|4|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|1|0|1|1|0|0|0|0|0|0|0|0|1|NO ESPECIFICADO|0|1|10/12/2025||
06FIC0045Z|4|DISCONTINUO|AQUILES SERDÁN (TAMALA) EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|006|IXTLAHUACÁN|0006|AQUILES SERDÁN (TAMALA)|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|5|0|0|0|0|0|0|0|0|4|0|1|0|0|0|1|1|2|2|2|4|0|0|0|0|0|0|3|3|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|1|0|1|1|0|0|0|0|0|0|0|0|1|NO ESPECIFICADO|0|1|10/12/2025||
06FIC0046Z|4|DISCONTINUO|ARTURO NORIEGA EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|009|TECOMÁN|1017|ARTURO NORIEGA PIZANO|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|4|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|2|4|6|0|0|0|0|0|0|0|0|4|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|10/12/2025||
06FIC0047Y|4|DISCONTINUO|AUGUSTO GÓMEZ VILLANUEVA (COALATILLA) EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|001|ARMERÍA|0045|AUGUSTO GÓMEZ VILLANUEVA (COALATILLA)|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|10/12/2025||
06FIC0048X|4|DISCONTINUO|CERRO DE ORTEGA (LINDA VISTA) EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|009|TECOMÁN|0025|CERRO DE ORTEGA|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|4|3|7|0|0|0|0|0|0|0|1|3|4|0|0|0|0|0|0|0|6|8|14|0|0|0|0|0|0|0|0|12|0|2|0|1|1|2|2|4|8|2|10|0|0|0|0|0|0|10|5|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|13|0|0|0|1|1|0|0|0|0|0|0|0|0|1|NO ESPECIFICADO|0|1|10/12/2025||
06FIC0049W|4|DISCONTINUO|COFRADÍA DE HIDALGO (LAGUNA DE ALCUZAHUE) EDUCACIÓN INICIAL|06|COLIMA|06|COLIMA|009|TECOMÁN|0027|COFRADÍA DE HIDALGO (LAGUNA DE ALCUZAHUE)|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|1|0|1|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|2|9|0|0|0|0|0|0|0|0|8|0|1|1|0|1|3|0|3|0|1|1|1|0|1|0|0|0|5|1|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|0|1|1|0|0|0|0|0|0|0|0|1|NO ESPECIFICADO|0|1|10/12/2025||
