CV_CCT|CV_TURNO|TURNO|NOMBRECT|CV_ENT_ADMINISTRATIVA|ENT_ADMINISTRATIVA|CV_ENT_INMUEBLE|ENTIDAD_INMUEBLE|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_AMBITO|C_NOM_TIPO_ASEN|CV_ASEN|C_NOM_ASEN|C_NOM_VIALIDAD|N_EXTNUM|CV_CODIGO_POSTAL|LATITUD|LONGITUD|CONTROL|SUBCONTROL|CV_SERVICION1|TIPO|CV_SERVICION2|NIVEL|CV_SERVICION3|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|E63|E64|E65|E66|E67|E68|E69|E70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|V133|V134|V135|V136|V137|V138|V139|V140|V141|V142|V143|V144|V145|V146|V147|V148|V149|V150|V151|V152|V153|V154|V155|V156|V157|V158|V159|V160|V161|V162|V163|V164|V165|V166|V167|V168|V169|V170|V171|V172|V173|V174|V175|V176|V177|V178|V179|V180|V181|V182|V183|V184|V185|V186|V187|V188|V189|V190|V191|V192|V193|V194|V195|V196|V197|V198|V199|V200|V201|V202|V203|V204|V205|V206|V207|V208|V209|V210|V211|V212|V213|V214|V215|V216|V217|V218|V219|V220|V221|V222|V223|V224|V225|V226|E227|V228|V229|V230|E231|V232|V233|V234|E235|V236|V237|V238|V239|V240|V241|V242|V296|V297|V243|V244|V245|V246|V247|V248|V249|V250|V251|V252|V253|V254|V255|V256|V257|V258|V259|V260|V261|V262|V263|V264|V265|V266|V267|E268|E269|E270|V271|V272|V273|V274|V275|V276|V277|V278|V279|V280|V281|V282|V283|V284|V285|V286|V287|V288|V289|V290|V291|V292|V293|V294|V295|FECHA_ENTREGA|C_OBSERVACION|
04FEI0012I|5|CONTINUO|RESPONSABLE DE SECTOR NUM 04|04|CAMPECHE|04|CAMPECHE|003|CARMEN|0614|SABANCUY|URBANO|BARRIO|0003|CENTRO|NINGUNO NINGUNO|0|24300|18.974600|-91.180500|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0003I|0|5|8|13|0|0|0|0|0|0|13|11|24|0|0|0|0|0|0|9|7|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27|26|53|0|0|0|0|0|0|0|47|47|0|0|0|0|47|CARMEN|SABANCUY|CARMEN|OXCABAL|CARMEN|ABELARDO L. RODRÍGUEZ|CARMEN|PLAN DE AYALA|3|4|4|4|0|0|0|0|0|0|7|8|2|1|1|4|4|3|0|0|0|0|7|8|0|0|2|1|5|4|0|0|0|0|7|5|0|3|2|1|2|1|0|0|0|0|4|5|5|8|9|10|11|8|0|0|0|0|25|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|15|16|6|47|0|2|0|2|0|2|0|2|0|8|0|0|0|0|0|0|0|0|0|0|6|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|BACHILLERATO TERMINADO|0|1|1||0|0|0||0|0|0|0|1|1|8|0|1|0|0|0|15|0|0|0|0|15|0|0|0|0|12|0|0|0|0|9|0|0|0|0|51|0||||0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|0|0|0|15/10/2025|SE REPORTARON 47 MADRES PORQUE EL RESTANTE SON MUJERES EMBARAZADAS Y POR LO TANTO NO LO REPORTE|
04FEI0013H|5|CONTINUO|RESPONSABLE DE SECTOR NUM 10|04|CAMPECHE|04|CAMPECHE|011|CANDELARIA|0041|BENITO JUÁREZ UNO|RURAL|AMPLIACIÓN|0002|NINGUNO|NINGUNO NINGUNO|0|00000|18.276600|-91.099600|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0002J|0|10|13|23|0|0|0|0|0|0|19|16|35|0|0|0|0|0|0|21|16|37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|50|45|95|0|0|0|0|0|0|0|95|95|0|0|0|0|10|CANDELARIA|CANDELARIA|CANDELARIA|GENERAL FRANCISCO J. MÚJICA|CANDELARIA|PEJELAGARTO|CANDELARIA|EL NARANJO|5|11|14|14|12|8|0|0|0|0|31|33|1|1|3|2|3|1|0|0|0|0|7|4|1|3|1|0|4|1|0|0|0|0|6|4|1|0|1|0|2|6|0|0|0|0|4|6|8|15|19|16|21|16|0|0|0|0|48|47|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|64|11|10|10|95|0|7|0|1|0|1|0|1|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|secundaria|0|4|4|bachillerato|0|5|5||0|0|0|0|9|9|10|0|1|64|0|0|0|0|11|0|0|0|0|10|0|0|0|0|10|0|0|0|0|95|0|0|0|0||||0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|0|0|0|14/10/2025||
04FEI0014G|5|CONTINUO|RESPONSABLE DE SECTOR NUM 18|04|CAMPECHE|04|CAMPECHE|004|CHAMPOTÓN|0027|PUSTUNICH|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE PUSTUNICH|0|00000|19.145300|-90.479400|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|4|10|14|0|0|0|0|0|0|15|14|29|0|0|0|0|0|0|19|16|35|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|39|41|80|0|0|0|0|0|0|0|109|109|0|0|0|0|10|CHAMPOTÓN|LÓPEZ MATEOS (LA DESCONFIANZA)|CHAMPOTÓN|YOHALTÚN|CHAMPOTÓN|AH-KIM-PECH|CHAMPOTÓN|CHILAM BALAM|0|1|3|2|5|3|0|0|0|0|8|6|1|2|0|3|1|5|0|0|0|0|2|10|0|1|4|5|1|1|0|0|0|0|5|7|4|1|2|1|1|4|0|0|0|0|7|6|5|5|9|11|8|13|0|0|0|0|22|29|22|29|51|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|30|30|22|19|101|0|3|0|3|0|2|0|2|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|PRIMARIA|0|3|3|SECUNDARIA|0|3|3|BACHILLERATO|0|4|4|0|10|10|10|0|1|0|0|0|14|0|0|0|0|12|0|0|0|0|12|0|0|0|0|13|0|0|0|0|51|0|COMISARIA|CENTRO DE SALUD||1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|1|1|1|1|0|14/10/2025||
04FEI0015F|5|CONTINUO|RESPONSABLE DE SECTOR NUM 17|04|CAMPECHE|04|CAMPECHE|012|SEYBAPLAYA|0001|SEYBAPLAYA|URBANO|CIUDAD INDUSTRIAL|0006|TIZIMIN|CALLE COSTERA DEL GOLFO|0|00000|19.646407|-90.691175|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0007E|0|41|36|77|0|0|0|0|0|0|38|21|59|0|0|0|0|0|0|17|17|34|0|0|0|0|0|0|22|13|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|118|87|205|0|0|0|0|0|0|0|205|205|0|0|0|0|9|CHAMPOTÓN|SEYBAPLAYA|CHAMPOTÓN|VILLA MADERO|CHAMPOTÓN|COLONIA EL HUANAL|||0|1|1|1|1|1|0|0|0|0|2|3|0|0|2|1|0|1|0|1|0|0|2|3|0|0|2|3|1|1|2|2|0|0|5|6|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|5|2|3|2|3|0|0|9|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|5|11|0|21|0|1|0|1|0|2|0|0|0|4|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||0|0|0||0|0|0|0|0|0|4|0|1|0|0|0|0|5|0|0|0|0|5|0|0|0|0|11|0|0|0|0|0|0|0|0|0|21||||0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0|0|16/10/2025||
04FEI0016E|5|CONTINUO|RESPONSABLE DE SECTOR NUM 15|04|CAMPECHE|04|CAMPECHE|004|CHAMPOTÓN|0091|LEY FEDERAL DE REFORMA AGRARIA|URBANO|CIUDAD|0005|NINGUNO|NINGUNO NINGUNO|0|00000|19.063200|-90.807300|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|4|7|11|0|0|0|0|0|0|1|12|13|0|0|0|0|0|0|5|4|9|0|0|0|0|0|0|3|4|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13|27|40|0|0|0|0|0|0|13|26|39|0|0|0|0|10|CHAMPOTÓN|REVOLUCIÓN|CHAMPOTÓN|CANTEMÓ|CHAMPOTÓN|XBACAB|CHAMPOTÓN|JOSÉ MARÍA MORELOS Y PAVÓN (EL POCITO)|0|1|1|2|7|1|0|0|0|0|8|4|1|0|0|0|2|2|0|0|0|0|3|2|0|0|0|0|3|7|0|0|0|0|3|7|0|2|2|1|3|1|0|0|0|0|5|4|1|3|3|3|15|11|0|0|0|0|19|17|19|17|36|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|9|10|10|38|0|1|0|1|0|1|0|1|0|4|0|0|0|0|0|0|0|0|0|0|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||0|0|0||0|0|0|0|0|0|4|0|1|0|0|0|12|0|0|0|0|5|0|0|0|0|10|0|0|0|0|9|0|0|0|0|36|0||||0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|0|0|0|17/10/2025||
04FEI0017D|5|CONTINUO|RESPONSABLE DE SECTOR NUM 08|04|CAMPECHE|04|CAMPECHE|006|HOPELCHÉN|0057|XMABÉN|RURAL|AMPLIACIÓN|0002|NINGUNO|NINGUNO NINGUNO|0|00000|19.234800|-89.314600|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|6|8|14|0|0|0|0|0|0|8|13|21|0|0|0|0|0|0|14|20|34|0|0|0|0|0|0|5|6|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|33|47|80|0|0|0|0|0|0|0|94|94|0|0|0|0|10|HOPELCHÉN|BECANCHÉN|HOPELCHÉN|KOMCHÉN|HOPELCHÉN|DZIBALCHÉN|HOPELCHÉN|VICENTE GUERRERO|0|1|1|2|4|4|0|1|0|0|5|8|0|0|1|1|1|3|0|0|0|0|2|4|1|3|3|10|6|4|2|1|0|0|12|18|1|1|2|3|4|11|0|1|0|0|7|16|2|5|7|16|15|22|2|3|0|0|26|46|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13|6|28|23|70|0|2|0|1|0|4|0|3|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|PRIMARIA TERMINADA|0|4|4|BACHILLERATO TERMINADO|0|4|4||0|0|0|0|8|8|10|0|1|0|0|13|0|0|0|0|6|0|0|0|0|30|0|0|0|0|23|0|0|0|0|72|0|0||||0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|0|0|0|17/10/2025||
04FEI0018C|5|CONTINUO|RESPONSABLE DE SECTOR NUM 11|04|CAMPECHE|04|CAMPECHE|010|CALAKMUL|0066|CONSTITUCIÓN|RURAL|AMPLIACIÓN|0002|NINGUNO|NINGUNO NINGUNO|0|00000|18.626900|-90.135800|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0002J|0|2|1|3|0|0|0|0|0|0|9|12|21|0|0|0|0|0|0|14|11|25|0|0|0|0|0|0|21|22|43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|46|46|92|0|0|0|0|0|0|0|92|92|10|0|0|0|10|ESCÁRCEGA|CENTENARIO|CALAKMUL|CONSTITUCIÓN|CALAKMUL|SANTA LUCÍA|CALAKMUL|PABLO GARCÍA|5|4|9|5|12|13|0|1|0|0|26|23|1|0|2|1|1|3|0|0|0|0|4|4|2|0|0|1|1|2|0|0|0|0|3|3|2|1|0|1|1|4|0|0|0|0|3|6|10|5|11|8|15|22|0|1|0|0|36|36|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|52|11|6|14|83|1|6|0|1|0|1|0|1|1|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|SECUNDARIA|0|7|7|BACHILLER|1|2|3||0|0|0|1|9|10|10|0|1|0|0|0|49|0|0|0|0|8|0|0|0|0|6|0|0|0|0|9|0|0|0|0|72|0||||0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|0|0|0|15/10/2025||
04FEI0019B|5|CONTINUO|RESPONSABLE DE SECTOR NUM 19|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0465|LOS LAURELES|URBANO|AMPLIACIÓN|0002|NINGUNO|NINGUNO NINGUNO|0|00000|19.487700|-89.994700|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|13|16|29|0|0|0|0|0|0|18|13|31|0|0|0|0|0|0|18|18|36|0|0|0|0|0|0|4|2|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|53|49|102|0|0|0|0|0|0|0|102|102|10|0|0|0|0|CAMPECHE|LOS LAURELES|CAMPECHE|SAN LUCIANO|||||11|13|13|9|17|15|4|1|0|0|45|38|2|3|5|4|1|3|0|0|0|0|8|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13|16|18|13|18|18|4|1|0|0|53|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|79|23|0|0|102|0|8|0|2|0|0|0|0|0|10|0|0|0|0|0|0|0|1|1|0|0|0|0|9|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||0|0|0||0|0|0|0|0|0|10|0|1|83|0|0|0|0|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|101|0|0|0|0||||0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|13/10/2025||
04FEI0020R|5|CONTINUO|RESPONSABLE DE SECTOR NUM 20|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0263|QUETZAL EDZNÁ|RURAL|AMPLIACIÓN|0002|NINGUNO|NINGUNO NINGUNO|0|00000|19.459100|-90.105500|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0007E|0|6|6|12|0|0|0|0|0|0|16|18|34|0|0|0|0|0|0|9|12|21|0|0|0|0|0|0|7|3|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|38|39|77|0|0|0|0|0|0|0|77|77|10|0|0|0|0|CAMPECHE|QUETZAL EDZNÁ|CAMPECHE|ALFREDO V. BONFIL|CAMPECHE|MELCHOR OCAMPO|CAMPECHE|PICH|3|0|6|10|3|3|2|0|0|0|14|13|0|0|0|2|2|4|0|0|0|0|2|6|0|1|4|1|1|1|5|3|0|0|10|6|3|5|6|5|3|4|0|0|0|0|12|14|6|6|16|18|9|12|7|3|0|0|38|39|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27|8|16|26|77|0|3|0|2|0|2|0|3|0|10|0|0|0|0|0|0|0|0|0|0|1|1|0|1|1|0|0|0|0|6|6|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||0|0|0||0|0|0|0|0|0|10|0|1|27|0|0|0|0|8|0|0|0|0|16|0|0|0|0|26|0|0|0|0|77|0|0|0|0||||0|1|0|0|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|1|3|0|0|0|15/10/2025||
04FEI0021Q|5|CONTINUO|RESPONSABLE DE SECTOR NUM 21|04|CAMPECHE|04|CAMPECHE|004|CHAMPOTÓN|0564|SANTO DOMINGO KESTÉ|URBANO|GRANJA|0017|NINGUNO|NINGUNO NINGUNO|0|24440|19.499800|-90.512200|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|12|8|20|0|0|0|0|0|0|20|14|34|0|0|0|0|0|0|24|13|37|0|0|0|0|0|0|5|8|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|61|43|104|0|0|0|0|0|0|0|0|0|0|0|0|107|0|CHAMPOTÓN|SANTO DOMINGO KESTÉ|CHAMPOTÓN|HOOL|||||10|8|18|16|13|10|0|0|0|0|41|34|2|2|8|7|5|6|0|0|0|0|15|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|10|26|23|18|16|0|0|0|0|56|49|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|77|28|0|0|105|0|8|0|2|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|SECUNDARIA|0|4|4|BACHILLER|0|4|4||0|0|0|0|8|8|10|0|1|0|0|0|75|0|0|0|0|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|105|0||||1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|17/10/2025||
04FEI0022P|5|CONTINUO|RESPONSABLE DE SECTOR NUM 22|04|CAMPECHE|04|CAMPECHE|004|CHAMPOTÓN|0191|MAYA TECÚN I|RURAL|BARRIO|0003|NINGUNO|NINGUNO NINGUNO|0|00000|19.153100|-90.506100|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|13|10|23|0|0|0|0|0|0|14|17|31|0|0|0|0|0|0|6|12|18|0|0|0|0|0|0|6|1|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|39|40|79|0|0|0|0|0|0|0|89|89|0|0|0|0|9|CHAMPOTÓN|MAYA TECÚN I|CHAMPOTÓN|MAYA TECÚN II|CHAMPOTÓN|PUSTUNICH|||4|3|4|2|5|4|2|2|0|0|15|11|7|0|3|3|3|2|0|0|0|0|13|5|0|2|5|0|1|2|0|0|0|0|6|4|0|0|0|0|0|0|0|0|0|0|0|0|11|5|12|5|9|8|2|2|0|0|34|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|30|22|10|0|62|0|4|0|3|1|0|0|0|1|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|BACHILLERATO|1|6|7|SECUNDARIA|0|1|1||0|0|0|1|7|8|8|0|1|0|0|0|26|0|0|0|0|18|0|0|0|0|10|0|0|0|0|0|0|0|0|0|54|0|COMISARI |||0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0|14/10/2025||
04FEI0059C|4|DISCONTINUO|VISITA A LOS HOGARES|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0001|SAN FRANCISCO DE CAMPECHE|URBANO||0104|SAN RAFAEL|AVENIDA JOSE LOPEZ PORTILLO|48|24090|19.662500|-90.548967|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|57|VISITA A HOGARES |||04ADG0007E|0|9|11|20|0|0|0|0|0|0|42|49|91|0|0|0|0|0|0|45|29|74|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|96|89|185|0|0|0|0|0|0|0|179|179|0|0|185|12|12|CAMPECHE|SAN FRANCISCO DE CAMPECHE|||||||25|21|21|33|42|38|4|1|0|0|92|93|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25|21|21|33|42|38|4|1|0|0|92|93|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|184|0|0|0|184|4|8|0|0|0|0|0|0|4|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|6|10|0|0|0|0|0|0|0|0|0|0|0|0|Profesional Técnico|0|2|2||0|0|0||0|0|0|0|2|2|12|0|1|0|185|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|185|0|0|0||||0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|16/10/2025||
04FEI0060S|4|DISCONTINUO|VISITA A LOS HOGARES|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0001|SAN FRANCISCO DE CAMPECHE|URBANO||0104|SAN RAFAEL|AVENIDA JOSE LOPEZ PORTILLO|48|24090|19.662500|-90.548967|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|57|VISITA A HOGARES |||04ADG0007E|0|6|6|12|0|0|0|0|0|0|32|13|45|0|0|0|0|0|0|19|16|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|57|35|92|0|0|0|0|0|0|0|90|90|5|0|0|6|0|CHAMPOTÓN|CHAMPOTÓN|HECELCHAKÁN|HECELCHAKÁN|||||3|2|3|2|8|6|1|3|0|0|15|13|5|5|14|9|13|9|3|1|0|0|35|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|7|17|11|21|15|4|4|0|0|50|37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27|60|0|0|87|1|1|2|2|0|0|0|0|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|6|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||0|0|0||0|0|0|0|0|0|6|0|1|0|28|0|0|0|0|59|0|0|0|0|0|0|0|0|0|0|0|0|0|0|87|0|0|0||||0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|16/10/2025||
